"County","Calendar Year","Quarter","Per Capita Sales","Total Taxable Sales"
"San Francisco","2020","4","74.07","64738641"
"San Joaquin","2020","4","21.69","16904012"
"San Luis Obispo","2020","4","51.75","14616635"
"San Mateo","2020","4","13.12","10035138"
"Santa Barbara","2020","4","31.92","14310246"
"Santa Clara","2020","4","28.45","55104459"
"Santa Cruz","2020","4","61.87","16759452"
"Shasta","2020","4","64.43","11736308"
"Siskiyou","2020","4","32.41","1428798"
"Solano","2020","4","33.81","15333327"
"Sonoma","2020","4","54.2","26498316"
"Stanislaus","2020","4","83.38","46099905"
"Trinity","2020","4","19.15","308672"
"Tulare","2020","4","23.45","11094755"
"Undisclosed","2020","4","","10033813"
"Ventura","2020","4","22.36","18872069"
"Yolo","2020","4","41.84","9054568"
"Alameda","2020","3","54.39","91519033"
"Calaveras","2020","3","48.29","2187463"
"Contra Costa","2020","3","21.18","24705937"
"El Dorado","2020","3","49.47","9459032"
"Fresno","2020","3","2.34","2363572"
"Humboldt","2020","3","76.84","10486162"
"Kern","2020","3","4.38","3991146"
"Lake","2020","3","47.1","3210755"
"Los Angeles","2020","3","41.43","414906805"
"Marin","2020","3","17.52","4596944"
"Mendocino","2020","3","83.69","7666418"
"Merced","2020","3","48.39","13609766"
"Mono","2020","3","122.98","1622762"
"Monterey","2020","3","36.2","15896656"
"Napa","2020","3","16.36","2259368"
"Orange","2020","3","19.12","60943764"
"Riverside","2020","3","32.33","78193446"
"Sacramento","2020","3","58.13","92144750"
"San Bernardino","2020","3","12.25","26744325"
"San Diego","2020","3","31.33","103373667"
"San Francisco","2020","3","78.52","68631923"
"San Joaquin","2020","3","25.65","19991982"
"San Luis Obispo","2020","3","46.09","13017748"
"San Mateo","2020","3","14.7","11240592"
"Santa Barbara","2020","3","27.96","12534245"
"Santa Clara","2020","3","27.97","54175826"
"Santa Cruz","2020","3","62.73","16991742"
"Shasta","2020","3","74.81","13628272"
"Siskiyou","2020","3","48.4","2133476"
"Solano","2020","3","38.53","17476931"
"Sonoma","2020","3","57.69","28205285"
"Stanislaus","2020","3","91.61","50649284"
"Trinity","2020","3","8.47","136523"
"Tulare","2020","3","25.94","12274487"
"Undisclosed","2020","3","","23679176"
"Ventura","2020","3","23.34","19698706"
"Yolo","2020","3","42.13","9118903"
"Alameda","2020","2","50.83","85527874"
"Calaveras","2020","2","32.08","1453370"
"Contra Costa","2020","2","16.71","19490142"
"El Dorado","2020","2","39.34","7521546"
"Fresno","2020","2","2.24","2265795"
"Humboldt","2020","2","81.6","11135738"
"Kern","2020","2","3.09","2810989"
"Lake","2020","2","46.03","3138185"
"Los Angeles","2020","2","33.06","331076045"
"Marin","2020","2","17.29","4535947"
"Mendocino","2020","2","73.32","6716284"
"Merced","2020","2","40.47","11382379"
"Mono","2020","2","77.28","1019747"
"Monterey","2020","2","37.64","16528344"
"Orange","2020","2","15.62","49788474"
"Riverside","2020","2","26.05","62995014"
"Sacramento","2020","2","49.66","78729387"
"San Bernardino","2020","2","10.88","23748609"
"San Diego","2020","2","26.49","87392252"
"San Francisco","2020","2","74.98","65534545"
"San Joaquin","2020","2","19.77","15412832"
"San Luis Obispo","2020","2","43.72","12349096"
"San Mateo","2020","2","12.84","9816632"
"Santa Barbara","2020","2","38.96","17466321"
"Santa Clara","2020","2","24.76","47960987"
"Santa Cruz","2020","2","63.21","17122481"
"Shasta","2020","2","67.05","12214260"
"Siskiyou","2020","2","41.83","1844072"
"Solano","2020","2","36.02","16337594"
"Sonoma","2020","2","53.01","25916727"
"Stanislaus","2020","2","80.36","44432382"
"Tulare","2020","2","30.33","14350982"
"Undisclosed","2020","2","","18691279"
"Ventura","2020","2","22","18571506"
"Yolo","2020","2","37","8007194"
"Alameda","2020","1","37.24","62655032"
"Contra Costa","2020","1","10.63","12394259"
"El Dorado","2020","1","29.15","5573338"
"Fresno","2020","1","1.17","1180977"
"Humboldt","2020","1","50.22","6853222"
"Kern","2020","1","1.48","1349061"
"Lake","2020","1","26.38","1798383"
"Los Angeles","2020","1","26.04","260808731"
"Marin","2020","1","10.97","2878412"
"Mendocino","2020","1","55.43","5077601"
"Merced","2020","1","21.44","6030734"
"Mono","2020","1","81.35","1073443"
"Monterey","2020","1","26.1","11461146"
"Orange","2020","1","11.77","37529193"
"Riverside","2020","1","20.2","48854449"
"Sacramento","2020","1","36.63","58069702"
"San Bernardino","2020","1","6.8","14835396"
"San Diego","2020","1","20.29","66961962"
"San Francisco","2020","1","69.85","61052271"
"San Joaquin","2020","1","14.39","11213889"
"San Luis Obispo","2020","1","31.18","8806480"
"San Mateo","2020","1","9.83","7516822"
"Santa Barbara","2020","1","20.67","9268429"
"Santa Clara","2020","1","24.88","48189961"
"Santa Cruz","2020","1","52.93","14337042"
"Shasta","2020","1","44.29","8069172"
"Siskiyou","2020","1","25.05","1104457"
"Solano","2020","1","28.84","13079108"
"Sonoma","2020","1","44.3","21658116"
"Stanislaus","2020","1","50.94","28165747"
"Tulare","2020","1","11.97","5664099"
"Undisclosed","2020","1","","13225308"
"Ventura","2020","1","17.19","14513918"
"Yolo","2020","1","26.74","5788031"
"Alameda","2019","4","34.9","57928125"
"Calaveras","2019","4","19.74","890289"
"Contra Costa","2019","4","6.45","7411487"
"El Dorado","2019","4","28.35","5378298"
"Fresno","2019","4","1.1","1116722"
"Humboldt","2019","4","52.6","7033586"
"Imperial","2019","4","11.54","2176386"
"Kern","2019","4","0.91","825594"
"Lake","2019","4","31.98","2053230"
"Los Angeles","2019","4","22.61","229864652"
"Marin","2019","4","8.1","2119042"
"Mendocino","2019","4","57.47","5069721"
"Mono","2019","4","64.3","869606"
"Monterey","2019","4","55.97","24640424"
"Orange","2019","4","10.47","33373704"
"Riverside","2019","4","14.43","34907536"
"Sacramento","2019","4","35.72","54945230"
"San Bernardino","2019","4","5.01","10865509"
"San Diego","2019","4","17.71","59055463"
"San Francisco","2019","4","73.99","65628391"
"San Joaquin","2019","4","10.13","7745723"
"San Luis Obispo","2019","4","26.77","7440783"
"San Mateo","2019","4","10.45","8059257"
"Santa Barbara","2019","4","18.05","8121893"
"Santa Clara","2019","4","24.52","47690601"
"Santa Cruz","2019","4","50.82","13815504"
"Shasta","2019","4","40.33","7165018"
"Siskiyou","2019","4","23.05","1028168"
"Solano","2019","4","29.39","12882581"
"Sonoma","2019","4","40.9","20285913"
"Stanislaus","2019","4","44.13","24413608"
"Trinity","2019","4","6.67","91071"
"Tulare","2019","4","9.15","4353359"
"Undisclosed","2019","4","","11628196"
"Ventura","2019","4","15.95","13468792"
"Yolo","2019","4","22.25","4902790"
"Alameda","2019","3","34.74","57668586"
"Calaveras","2019","3","22.6","1019266"
"Contra Costa","2019","3","6.03","6924137"
"El Dorado","2019","3","30.92","5866649"
"Fresno","2019","3","1.38","1403762"
"Humboldt","2019","3","56.08","7499234"
"Kern","2019","3","0.51","465373"
"Lake","2019","3","34.21","2196300"
"Los Angeles","2019","3","19.68","200041779"
"Marin","2019","3","7.56","1978052"
"Mendocino","2019","3","61.04","5384123"
"Mono","2019","3","95.67","1293868"
"Monterey","2019","3","25.96","11431463"
"Orange","2019","3","10.09","32170773"
"Riverside","2019","3","10.31","24952423"
"Sacramento","2019","3","36.56","56237473"
"San Bernardino","2019","3","4.25","9215770"
"San Diego","2019","3","17.42","58077781"
"San Francisco","2019","3","75.03","66548112"
"San Luis Obispo","2019","3","23.91","6644712"
"Santa Barbara","2019","3","12.51","5627017"
"Santa Clara","2019","3","25.7","49985898"
"Santa Cruz","2019","3","55.33","15040453"
"Shasta","2019","3","45.49","8082244"
"Siskiyou","2019","3","31.38","1399535"
"Solano","2019","3","32.26","14137233"
"Sonoma","2019","3","43.38","21513827"
"Stanislaus","2019","3","46.16","25533457"
"Undisclosed","2019","3","","26624924"
"Ventura","2019","3","15.68","13239425"
"Yolo","2019","3","20.42","4499760"
"Alameda","2019","2","33.35","55349178"
"Calaveras","2019","2","23.09","1041207"
"Contra Costa","2019","2","5.15","5910835"
"El Dorado","2019","2","24.27","4605065"
"Humboldt","2019","2","50.89","6806043"
"Kern","2019","2","1.42","1288679"
"Lake","2019","2","29.58","1899222"
"Los Angeles","2019","2","17.87","181644037"
"Marin","2019","2","5.91","1547302"
"Mendocino","2019","2","58.04","5120266"
"Mono","2019","2","77.21","1044292"
"Monterey","2019","2","25.61","11276970"
"Orange","2019","2","9.25","29488779"
"Riverside","2019","2","10.13","24527987"
"Sacramento","2019","2","32.33","49728941"
"San Bernardino","2019","2","5.19","11255949"
"San Diego","2019","2","16.61","55385110"
"San Francisco","2019","2","71.24","63181734"
"San Luis Obispo","2019","2","21.12","5869425"
"Santa Barbara","2019","2","9.09","4092645"
"Santa Clara","2019","2","24.6","47844550"
"Santa Cruz","2019","2","52.65","14312146"
"Shasta","2019","2","39.1","6946614"
"Siskiyou","2019","2","23.09","1029699"
"Solano","2019","2","27.2","11921115"
"Sonoma","2019","2","40.37","20021976"
"Stanislaus","2019","2","38.08","21068032"
"Tulare","2019","2","8.36","3979724"
"Undisclosed","2019","2","","17749136"
"Ventura","2019","2","14.13","11932500"
"Yolo","2019","2","18.87","4158242"
"Alameda","2019","1","30.44","50529675"
"Contra Costa","2019","1","4.75","5458628"
"El Dorado","2019","1","16.78","3184246"
"Fresno","2019","1","0.7","709565"
"Humboldt","2019","1","36.77","4916828"
"Kern","2019","1","2.35","2135457"
"Lake","2019","1","18.39","1180495"
"Los Angeles","2019","1","15.25","154993556"
"Marin","2019","1","5.11","1338077"
"Mendocino","2019","1","45.28","3994067"
"Monterey","2019","1","20.72","9124480"
"Orange","2019","1","8.02","25559372"
"Riverside","2019","1","8.77","21237102"
"Sacramento","2019","1","25.97","39945628"
"San Bernardino","2019","1","2.76","5981248"
"San Diego","2019","1","14.99","49994552"
"San Francisco","2019","1","65.33","57942787"
"San Joaquin","2019","1","6.03","4612986"
"San Luis Obispo","2019","1","15.89","4416365"
"Santa Barbara","2019","1","5.64","2538290"
"Santa Clara","2019","1","22.41","43586992"
"Santa Cruz","2019","1","44.33","12050656"
"Shasta","2019","1","26.04","4626337"
"Siskiyou","2019","1","18.73","835481"
"Solano","2019","1","22.98","10070780"
"Sonoma","2019","1","34.58","17151155"
"Stanislaus","2019","1","33.62","18598382"
"Tulare","2019","1","7.44","3539263"
"Undisclosed","2019","1","","6866024"
"Ventura","2019","1","11.11","9381852"
"Yolo","2019","1","11.63","2563489"
"Alameda","2018","4","31.43","51916884"
"Calaveras","2018","4","23.24","1049691"
"Contra Costa","2018","4","4.51","5158914"
"El Dorado","2018","4","17.25","3243200"
"Fresno","2018","4","0.87","879409"
"Humboldt","2018","4","35.36","4771844"
"Kern","2018","4","2.37","2131428"
"Lake","2018","4","9.26","598221"
"Los Angeles","2018","4","14.62","149076931"
"Marin","2018","4","6.05","1587730"
"Mendocino","2018","4","46.29","4099100"
"Monterey","2018","4","22.09","9692172"
"Nevada","2018","4","8.42","826417"
"Orange","2018","4","8.46","26963539"
"Riverside","2018","4","6.92","16594578"
"Sacramento","2018","4","26.3","40118136"
"San Bernardino","2018","4","2.18","4704277"
"San Diego","2018","4","14.44","47975163"
"San Francisco","2018","4","68.65","60811263"
"San Joaquin","2018","4","4.34","3270815"
"San Luis Obispo","2018","4","18","5011066"
"San Mateo","2018","4","0.93","720762"
"Santa Barbara","2018","4","5.15","2314877"
"Santa Clara","2018","4","22.42","43575550"
"Santa Cruz","2018","4","47.12","12891543"
"Shasta","2018","4","21.87","3899531"
"Siskiyou","2018","4","19.26","859143"
"Solano","2018","4","21.68","9472064"
"Sonoma","2018","4","34.59","17312803"
"Stanislaus","2018","4","32.61","17946379"
"Tulare","2018","4","6.71","3169558"
"Undisclosed","2018","4","","1391173"
"Ventura","2018","4","9.51","8070859"
"Yolo","2018","4","8.24","1810127"
"Alameda","2018","3","28.45","47008411"
"Butte","2018","3","0.38","87090"
"Contra Costa","2018","3","4.43","5068804"
"El Dorado","2018","3","18.41","3460311"
"Humboldt","2018","3","35.31","4764661"
"Kern","2018","3","2.41","2170500"
"Lake","2018","3","5.88","379854"
"Los Angeles","2018","3","11.65","118824965"
"Marin","2018","3","2.16","567980"
"Mendocino","2018","3","42.11","3729371"
"Monterey","2018","3","18.45","8096731"
"Nevada","2018","3","6.06","595112"
"Orange","2018","3","6.44","20542047"
"Riverside","2018","3","4.88","11711609"
"Sacramento","2018","3","24.18","36890733"
"San Bernardino","2018","3","1.43","3092431"
"San Diego","2018","3","12.99","43147127"
"San Francisco","2018","3","66.27","58704891"
"San Joaquin","2018","3","3.62","2729009"
"San Luis Obispo","2018","3","8.78","2444014"
"San Mateo","2018","3","0.67","523649"
"Santa Barbara","2018","3","3.35","1504768"
"Santa Clara","2018","3","21.13","41081614"
"Santa Cruz","2018","3","42.72","11689049"
"Shasta","2018","3","19.55","3486782"
"Siskiyou","2018","3","21.86","975227"
"Solano","2018","3","21.22","9271234"
"Sonoma","2018","3","34.31","17175050"
"Stanislaus","2018","3","30.85","16980835"
"Tulare","2018","3","6.51","3075213"
"Undisclosed","2018","3","","2710471"
"Ventura","2018","3","6.38","5417421"
"Alameda","2018","2","29.24","48313632"
"Butte","2018","2","0.34","77361"
"Calaveras","2018","2","30.54","1379240"
"Contra Costa","2018","2","4.7","5381000"
"El Dorado","2018","2","20.25","3805916"
"Fresno","2018","2","0.41","412424"
"Humboldt","2018","2","38.3","5168230"
"Kern","2018","2","2.51","2263643"
"Lake","2018","2","9.41","608164"
"Los Angeles","2018","2","11.92","121567102"
"Marin","2018","2","6.49","1702698"
"Mendocino","2018","2","41.62","3685323"
"Monterey","2018","2","18.06","7922972"
"Nevada","2018","2","5.46","536113"
"Orange","2018","2","8.11","25865078"
"Riverside","2018","2","6.1","14636169"
"Sacramento","2018","2","27.87","42508597"
"San Bernardino","2018","2","1.36","2928253"
"San Diego","2018","2","15.03","49933303"
"San Francisco","2018","2","68.44","60620495"
"San Luis Obispo","2018","2","2.62","729973"
"San Mateo","2018","2","1.45","1119356"
"Santa Barbara","2018","2","11.85","5323503"
"Santa Clara","2018","2","21.25","41316436"
"Santa Cruz","2018","2","50.05","13693626"
"Shasta","2018","2","19.75","3522417"
"Siskiyou","2018","2","26.24","1170500"
"Solano","2018","2","18.18","7945532"
"Sonoma","2018","2","35.23","17632230"
"Stanislaus","2018","2","31.58","17380910"
"Tulare","2018","2","4.97","2349989"
"Undisclosed","2018","2","","6101907"
"Ventura","2018","2","4","3398859"
